id,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
35927669,Irving Park,60618,41.9557,-87.71027,Apartment,Private room,2,1,1,1,$80.00 ,
35928381,Garfield Ridge,60638,41.80227,-87.76205,Apartment,Entire home/apt,5,1,2,4,$107.00 ,
35931987,Near North Side,60611,41.89644,-87.62536,Apartment,Entire home/apt,2,1,1,1,$160.00 ,
35935385,South Shore,60649,41.77162,-87.56792,Apartment,Entire home/apt,4,1,1,1,$110.00 ,
35935522,Hyde Park,60615,41.80159,-87.58946,Apartment,Private room,1,2,1,1,$20.00 ,
35941253,West Town,60622,41.90149,-87.66826,Condominium,Entire home/apt,5,2,3,3,$599.00 ,
35945631,Uptown,60640,41.97459,-87.66596,House,Entire home/apt,5,1,2,2,$140.00 ,100
35946439,Lincoln Park,60614,41.91977,-87.65429,Apartment,Entire home/apt,8,2,2,4,$258.00 ,
35946759,Loop,60606,41.88173,-87.63324,Serviced apartment,Entire home/apt,3,1,0,1,$137.00 ,
35946813,Near North Side,60610,41.89917,-87.64296,Condominium,Entire home/apt,6,2,2,2,$400.00 ,
35950191,Lincoln Square,60625,41.97439,-87.6868,Apartment,Entire home/apt,2,1,1,1,$80.00 ,
35962317,Logan Square,60622,41.91474,-87.6708,House,Entire home/apt,12,2.5,4,4,$475.00 ,100
35966109,Lake View,60657,41.94324,-87.64317,Apartment,Entire home/apt,4,1,0,1,$119.00 ,
35966430,Avondale,60618,41.93551,-87.70646,Apartment,Entire home/apt,6,1,2,3,$124.00 ,100
35968263,Avondale,60618,41.9345,-87.70565,Apartment,Private room,2,1,1,1,$45.00 ,87
35969504,Logan Square,60647,41.92385,-87.71017,Apartment,Entire home/apt,2,1,1,1,$49.00 ,
35972011,West Town,60622,41.90245,-87.6821,Apartment,Private room,3,1,1,2,$64.00 ,
35972631,West Town,60647,41.9112,-87.6946,Apartment,Entire home/apt,6,1,3,3,$139.00 ,100
35973720,Lake View,60657,41.94417,-87.66034,Apartment,Entire home/apt,4,1,2,2,$230.00 ,
35987045,Irving Park,60641,41.94748,-87.73238,Apartment,Entire home/apt,6,1,2,3,$116.00 ,
35990395,Armour Square,60616,41.84147,-87.63103,Apartment,Private room,2,1,1,1,$39.00 ,
35993643,North Center,60618,41.937,-87.68331,Condominium,Entire home/apt,6,1,2,3,$170.00 ,70
35995054,South Shore,60619,41.76248,-87.58657,House,Private room,2,2,1,2,$29.00 ,
35995137,Uptown,60640,41.96683,-87.66734,Apartment,Private room,2,1,1,1,$60.00 ,100
35998874,West Town,60647,41.91247,-87.68396,Apartment,Entire home/apt,5,1,3,3,$300.00 ,
36000052,Brighton Park,60632,41.81773,-87.69185,House,Entire home/apt,12,2,5,6,$273.00 ,
36001736,Garfield Ridge,60632,41.81254,-87.7414,House,Private room,2,1,1,1,$42.00 ,
36001948,Lincoln Square,60625,41.97287,-87.69921,Apartment,Private room,2,1,1,1,$70.00 ,
36021125,West Town,60647,41.91188,-87.67799,Apartment,Entire home/apt,2,1,0,1,$154.00 ,
36023622,Near West Side,60612,41.8745,-87.68557,Condominium,Entire home/apt,4,2,2,2,$70.00 ,100
36026793,Austin,60644,41.88138,-87.75329,Apartment,Private room,2,1,1,1,$75.00 ,
36027049,Garfield Ridge,60632,41.81281,-87.7407,House,Private room,2,1,1,1,$49.00 ,93
36034692,Douglas,60653,41.82472,-87.6211,Townhouse,Entire home/apt,10,3.5,4,6,$199.00 ,
36037370,East Garfield Park,60612,41.88094,-87.69195,Apartment,Entire home/apt,3,1,1,1,$125.00 ,
36038899,Logan Square,60647,41.92482,-87.70862,Apartment,Entire home/apt,2,1,0,1,$125.00 ,
36042124,Irving Park,60618,41.95295,-87.71167,Townhouse,Entire home/apt,6,2.5,3,2,$320.00 ,
36043210,Lower West Side,60608,41.85686,-87.65387,Apartment,Private room,3,1,1,1,$39.00 ,100
36055734,Lower West Side,60616,41.8575,-87.64168,Campsite,Entire home/apt,4,1.5,1,1,$100.00 ,100
36059644,Rogers Park,60626,42.00355,-87.66136,Apartment,Entire home/apt,2,1,0,1,$56.00 ,
36060608,Avondale,60618,41.94202,-87.70428,Apartment,Private room,2,1,1,1,$80.00 ,
36062338,Avondale,60618,41.94155,-87.70295,Apartment,Private room,2,1,1,1,$55.00 ,
